Entity, Attribute, Error Message
BOOK, pages, text missing: pages 3405156211
BOOK, pages, text missing: pages 3442336759
BOOK, pages, text missing: pages 3898307263
BOOK, pages, text missing: pages 3937825061
PRODUCT, salesrank, attribute missing: salesrank B000025048
PRODUCT, salesrank, attribute missing: salesrank B00002DGH1
PRODUCT, salesrank, attribute missing: salesrank B000024NZ8
PRODUCT, salesrank, attribute missing: salesrank B00006LI24
DVD, regioncode, text missing: regioncode B000266XCG
PRODUCT, salesrank, attribute missing: salesrank B000CAKWNS
BOOK, pages, text missing: pages 3899402669
PRODUCT, salesrank, attribute missing: salesrank 9626341521
CD, label, tag missing: label B0002ZCJM0
CD, label, tag missing: label B000BBQK20
PRODUCT, salesrank, attribute missing: salesrank B000003W0C
CD, releasedate, text missing: releasedate B000007OWQ
CD, label, tag missing: label B000BPN2Q8
CD, label, tag missing: label B000BP2VQK
PRODUCT, salesrank, attribute missing: salesrank B000005YNW
PRODUCT, salesrank, attribute missing: salesrank 389844208X
PRODUCT, salesrank, attribute missing: salesrank B000002UJJ
PRODUCT, salesrank, attribute missing: salesrank B000005IW3
PRODUCT, salesrank, attribute missing: salesrank B000025FDK
PRODUCT, salesrank, attribute missing: salesrank B000003LW1
CD, label, tag missing: label B0009MWB60
PRODUCT, salesrank, attribute missing: salesrank B0000026YK
BOOK, pages, text missing: pages 376530218X
BOOK, pages, text missing: pages 3779500302
BOOK, pages, text missing: pages 3000147012
BOOK, pages, text missing: pages 3937825045
BOOK, pages, text missing: pages 3931081249
BOOK, pages, text missing: pages 3257800010
BOOK, pages, text missing: pages 3720527069
PRODUCT, pgroup, Unknown product type: Buch
BOOK, pages, text missing: pages 3937825266
BOOK, pages, text missing: pages B00026ACAA
BOOK, pages, text missing: pages 3899402553
BOOK, pages, text missing: pages 3833714220
BOOK, pages, text missing: pages 383152100X
BOOK, pages, text missing: pages 3934120482
BOOK, pages, text missing: pages 3898132714
BOOK, pages, text missing: pages 3453867920
BOOK, pages, text missing: pages 3411002166
BOOK, pages, text missing: pages B000A2FIEQ
BOOK, pages, text missing: pages 3980927954
BOOK, pages, text missing: pages 3866151152
BOOK, pages, text missing: pages 3899402537
BOOK, pages, text missing: pages 3935036728
BOOK, pages, text missing: pages 3593373912
BOOK, pages, text missing: pages B0001WGER0
BOOK, pages, text missing: pages 3899403452
BOOK, pages, text missing: pages 3455320287
BOOK, publisher, tag missing: publisher 377424801X
BOOK, pages, text missing: pages 3898302717
BOOK, pages, text missing: pages 3468215134
BOOK, pages, text missing: pages 3442339006
BOOK, pages, text missing: pages 3895927805
BOOK, pages, text missing: pages 3866040202
BOOK, pages, text missing: pages 3937864032
BOOK, pages, text missing: pages 3491886120
BOOK, pages, text missing: pages 3491887852
BOOK, pages, text missing: pages 346821507X
BOOK, pages, text missing: pages 3784440274
BOOK, pages, text missing: pages 3898307204
BOOK, pages, text missing: pages 3491886112
BOOK, pages, text missing: pages 3933496926
BOOK, pages, text missing: pages 3442339049
BOOK, pages, text missing: pages 3926512458
BOOK, pages, text missing: pages 3938276037
BOOK, pages, text missing: pages 3935036825
BOOK, pages, text missing: pages 3782708989
BOOK, pages, text missing: pages B0001WGERU
BOOK, pages, text missing: pages 3831520186
BOOK, pages, text missing: pages 3831520666
BOOK, pages, text missing: pages 3938276061
BOOK, pages, text missing: pages B00026AD4K
BOOK, pages, text missing: pages 3468266251
PRODUCT, salesrank, attribute missing: salesrank B00002628D
PRODUCT, salesrank, attribute missing: salesrank B00001WRKN
CD, releasedate, text missing: releasedate B000024255
DVD, regioncode, text missing: regioncode B00013YWH8
DVD, regioncode, text missing: regioncode B0007QS1VW
PRODUCT, asin, attribute missing: asin
DVD, runningtime, text missing: runningtime B000BW9BZW
DVD, regioncode, text missing: regioncode B00009LW5L
DVD, regioncode, text missing: regioncode B0000YWHOI
DVD, regioncode, text missing: regioncode B0007DDPWK
DVD, regioncode, text missing: regioncode B000A6C23W
DVD, regioncode, text missing: regioncode B000A6C24G
DVD, runningtime, text missing: runningtime B000BOIV4W
DVD, regioncode, text missing: regioncode B000A6C246
DVD, regioncode, text missing: regioncode B0002IO9P2
DVD, regioncode, text missing: regioncode B0003HGWNE
DVD, runningtime, text missing: runningtime B000B9TVDW
DVD, regioncode, text missing: regioncode B000A6C24Q
DVD, regioncode, text missing: regioncode B0002S3084
DVD, regioncode, text missing: regioncode B0002PC308
DVD, regioncode, text missing: regioncode B0002N7I7S
DVD, runningtime, text missing: runningtime B00062ICW0
DVD, runningtime, text missing: runningtime B0006O9MWW
DVD, regioncode, text missing: regioncode B000176N1W
DVD, runningtime, text missing: runningtime B000BNTAWK
DVD, runningtime, text missing: runningtime B0002ZCJH0
DVD, runningtime, text missing: runningtime B0002Z9YR8
DVD, regioncode, text missing: regioncode B000295V44
DVD, regioncode, text missing: regioncode B0009MA9D2
DVD, regioncode, text missing: regioncode B0002OWWSW
DVD, regioncode, text missing: regioncode B0000PCBFW
DVD, regioncode, text missing: regioncode B0002W19UG
DVD, runningtime, text missing: runningtime B000B6TQQ2
DVD, runningtime, text missing: runningtime B000BWPQZ6
DVD, regioncode, text missing: regioncode B0002A4J3W
DVD, regioncode, text missing: regioncode B0007N4MRW
DVD, regioncode, text missing: regioncode B000242BZG
DVD, regioncode, text missing: regioncode B000BDIW9M
DVD, regioncode, text missing: regioncode B0007DDPWU
DVD, regioncode, text missing: regioncode B0000DKQWR
DVD, runningtime, text missing: runningtime B0000AZSWW
DVD, runningtime, text missing: runningtime B000696Q2G
DVD, regioncode, text missing: regioncode B00092ZE6E
DVD, regioncode, text missing: regioncode B00019RAG2
DVD, regioncode, text missing: regioncode B000B9PW76
PRODUCT, salesrank, attribute missing: salesrank B0002NY90W
DVD, regioncode, text missing: regioncode B000679QWK
DVD, regioncode, text missing: regioncode B0002TB2XI
DVD, regioncode, text missing: regioncode B0009QYQ8W
DVD, regioncode, text missing: regioncode B000CFWGFK
DVD, regioncode, text missing: regioncode B0007YP0WC
DVD, regioncode, text missing: regioncode B0002V6UTC
DVD, runningtime, text missing: runningtime B000BLI5X2
DVD, runningtime, text missing: runningtime B00027LEHO
DVD, regioncode, text missing: regioncode B00008WD7G
PRODUCT, salesrank, attribute missing: salesrank B0000EWQ12
PRODUCT, salesrank, attribute missing: salesrank B0000009V2
PRODUCT, salesrank, attribute missing: salesrank B00004WIUY
PRODUCT, salesrank, attribute missing: salesrank B000025HIR
PRODUCT, salesrank, attribute missing: salesrank B000ASAEQ2
PRODUCT, salesrank, attribute missing: salesrank B000002S7I
PRODUCT, salesrank, attribute missing: salesrank B00004W9YQ
PRODUCT, salesrank, attribute missing: salesrank B000002J08
PRODUCT, salesrank, attribute missing: salesrank B000002IZI
PRODUCT, salesrank, attribute missing: salesrank 9626342803
